W_5_15_300;[[1.165,(36,148)],[1.424,(36,148)],[1.165,(36,148)],[1.424,(36,148)],[1.6,(36,36)],[1.8,(36,36)],[1.6,(36,36)],[0.563,(36,36)],[0.563,(36,36)],[1.122,(36,36)],[1.122,(36,36)]]
W_7_15_300;[[1.631,(61,198)],[1.993,(61,198)],[1.631,(61,198)],[1.993,(61,198)],[2.24,(36,148)],[2.52,(36,148)],[2.24,(36,148)],[0.788,(36,36)],[0.788,(36,36)],[1.571,(36,36)],[1.571,(36,36)]]
W_9_15_300;[[2.096,(73,223)],[2.562,(73,223)],[2.096,(73,223)],[2.562,(73,223)],[2.88,(36,148)],[3.24,(36,148)],[2.88,(36,148)],[1.013,(36,48)],[1.013,(36,48)],[2.019,(36,48)],[2.019,(36,48)]]
W_11_15_300;[[2.562,(73,223)],[3.132,(73,223)],[2.562,(73,223)],[3.132,(73,223)],[3.52,(48,198)],[3.96,(48,198)],[3.52,(48,198)],[1.238,(36,148)],[1.238,(36,148)],[2.468,(36,148)],[2.468,(36,148)]]
W_13_15_300;[[3.028,(73,223)],[3.701,(73,223)],[3.028,(73,223)],[3.701,(73,223)],[4.16,(61,198)],[4.68,(61,198)],[4.16,(61,198)],[1.463,(48,148)],[1.463,(48,148)],[2.917,(48,148)],[2.917,(48,148)]]
W_15_15_300;[[3.494,(73,223)],[4.271,(73,223)],[3.494,(73,223)],[4.271,(73,223)],[4.8,(73,223)],[5.4,(73,223)],[4.8,(73,223)],[1.688,(48,148)],[1.688,(48,148)],[3.366,(48,148)],[3.366,(48,148)]]
W_17_15_300;[[3.96,(73,223)],[4.84,(73,223)],[3.96,(73,223)],[4.84,(73,223)],[5.44,(73,223)],[6.12,(73,223)],[5.44,(73,223)],[1.913,(48,198)],[1.913,(48,198)],[3.815,(48,198)],[3.815,(48,198)]]
W_19_15_300;[[4.426,(73,223)],[5.409,(73,223)],[4.426,(73,223)],[5.409,(73,223)],[6.08,(73,223)],[6.84,(73,223)],[6.08,(73,223)],[2.138,(61,198)],[2.138,(61,198)],[4.263,(61,198)],[4.263,(61,198)]]
W_5_20_300;[[1.197,(36,148)],[1.463,(36,148)],[1.197,(36,148)],[1.463,(36,148)],[1.6,(36,36)],[1.8,(36,36)],[1.6,(36,36)],[0.627,(36,36)],[0.627,(36,36)],[1.28,(36,36)],[1.28,(36,36)]]
W_7_20_300;[[1.676,(61,198)],[2.049,(61,198)],[1.676,(61,198)],[2.049,(61,198)],[2.24,(36,148)],[2.52,(36,148)],[2.24,(36,148)],[0.878,(36,36)],[0.878,(36,36)],[1.792,(36,36)],[1.792,(36,36)]]
