,Length,Area,Moment of Inertia,Material,Location,Latitude,Longitude
0,9.699911839873755,0.033537259606675994,9.372898182713177e-05,Timber,Storlien,63.3160,12.1018
1,9.931526662358054,0.01816653273612009,2.750190930437691e-05,Timber,Tiller,63.3604,10.4008
2,2.018659988660601,0.00334,2.77e-05,Steel,Storlien,63.3160,12.1018
3,6.545789286867754,0.008084071145553802,5.446017190531295e-06,Timber,Gjovik,60.8941,10.5001
4,2.972078208316983,0.00239,1.32e-05,Steel,Storlien,63.3160,12.1018
5,6.644452404529792,0.00164,5.41e-06,Steel,Gjovik,60.8941,10.5001
6,3.431653525655774,0.030418702085331362,7.710811971301188e-05,Timber,Tiller,63.3604,10.4008
7,1.0482989764051112,0.017592523589017993,2.579140718584621e-05,Timber,Storlien,63.3160,12.1018
8,8.019019149563395,0.03191655299668006,8.488886293249058e-05,Timber,Storlien,63.3160,12.1018
9,2.9880149809978933,0.00334,2.77e-05,Steel,Storlien,63.3160,12.1018
10,3.5226754210022784,0.00103,1.71e-06,Steel,Storlien,63.3160,12.1018
11,5.86523993464418,0.03267297158977264,8.896025604217419e-05,Timber,Storlien,63.3160,12.1018
12,1.1092778921301485,0.03252227314779388,8.81415208916429e-05,Timber,Storlien,63.3160,12.1018
13,8.530058419577655,0.037628594689782885,0.00011799259486066305,Timber,Tiller,63.3604,10.4008
14,5.61414838378606,0.015554542702107372,2.016198322264014e-05,Timber,Tiller,63.3604,10.4008
15,3.232458313348885,0.008638909051948378,6.219229133986302e-06,Timber,Storlien,63.3160,12.1018
16,6.798118970695625,0.00201,8.69e-06,Steel,Tiller,63.3604,10.4008
17,7.33178698252479,0.025088095366606927,5.245104409366366e-05,Timber,Storlien,63.3160,12.1018
18,6.658120509561626,0.00459,5.79e-05,Steel,Gjovik,60.8941,10.5001
19,6.153838733439971,0.00459,5.79e-05,Steel,Tiller,63.3604,10.4008
20,1.9111324044110503,0.022174052872135436,4.0974051731354814e-05,Timber,Storlien,63.3160,12.1018
21,6.386408893689426,0.006799122897708658,3.852339348178848e-06,Timber,Storlien,63.3160,12.1018
22,8.212421740520767,0.00459,5.79e-05,Steel,Storlien,63.3160,12.1018
23,1.1085825516879746,0.00239,1.32e-05,Steel,Orkanger,63.3000,9.8468
24,6.324583853268691,0.02020253306820081,3.4011861864312276e-05,Timber,Tiller,63.3604,10.4008
25,3.935438639032437,0.00334,2.77e-05,Steel,Tiller,63.3604,10.4008
26,3.2619359332305278,0.007490482795392304,4.675611042339009e-06,Timber,Gjovik,60.8941,10.5001
27,4.09318212492922,0.00538,8.36e-05,Steel,Storlien,63.3160,12.1018
28,9.660467522844964,0.03177209872905932,8.412218813742439e-05,Timber,Tiller,63.3604,10.4008
29,2.9122941947436334,0.03689432085789314,0.00011343257596376406,Timber,Orkanger,63.3000,9.8468
30,7.171357195527538,0.00538,8.36e-05,Steel,Gjovik,60.8941,10.5001
31,9.143066095044762,0.00459,5.79e-05,Steel,Tiller,63.3604,10.4008
32,2.48369225740111,0.03566130635932711,0.00010597739760448203,Timber,Orkanger,63.3000,9.8468
33,10.94584198896492,0.01569300807711617,2.0522541875702777e-05,Timber,Tiller,63.3604,10.4008
34,1.3191772028347162,0.026709218662331724,5.94485301293541e-05,Timber,Storlien,63.3160,12.1018
35,9.724142572516625,0.00615321637903471,3.1551726506017525e-06,Timber,Storlien,63.3160,12.1018
36,3.6502415165186823,0.024521107573433912,5.010705971899316e-05,Timber,Tiller,63.3604,10.4008
37,4.96751655377244,0.00334,2.77e-05,Steel,Storlien,63.3160,12.1018
38,1.431934900910288,0.00164,5.41e-06,Steel,Gjovik,60.8941,10.5001
39,3.683567792466998,0.00201,8.69e-06,Steel,Orkanger,63.3000,9.8468
40,2.7041562543493716,0.01806247941571274,2.7187763553587205e-05,Timber,Orkanger,63.3000,9.8468
41,7.848374782618913,0.03953078167907931,0.000130223558346586,Timber,Gjovik,60.8941,10.5001
42,8.415550011655135,0.039771728206109164,0.00013181586370838492,Timber,Tiller,63.3604,10.4008
43,10.366481055331024,0.03690234473999325,0.00011348192060910897,Timber,Storlien,63.3160,12.1018
44,10.91400033361723,0.00103,1.71e-06,Steel,Storlien,63.3160,12.1018
45,4.520175423059548,0.00334,2.77e-05,Steel,Tiller,63.3604,10.4008
46,9.717651813564194,0.00334,2.77e-05,Steel,Storlien,63.3160,12.1018
47,3.1535812681918785,0.00459,5.79e-05,Steel,Tiller,63.3604,10.4008
48,2.6377795549569987,0.005072643694169975,2.144309504000201e-06,Timber,Tiller,63.3604,10.4008
49,4.981618513171732,0.005665332339052075,2.6746658759924376e-06,Timber,Storlien,63.3160,12.1018
50,4.049426008808166,0.03740822944431013,0.00011661463584651263,Timber,Storlien,63.3160,12.1018
51,4.7389720093944305,0.023997398739465103,4.7989595521740113e-05,Timber,Gjovik,60.8941,10.5001
52,1.7430626062520351,0.00334,2.77e-05,Steel,Gjovik,60.8941,10.5001
53,10.185516692938156,0.00538,8.36e-05,Steel,Tiller,63.3604,10.4008
54,8.241277751774291,0.00201,8.69e-06,Steel,Tiller,63.3604,10.4008
55,9.349751017519992,0.0150514323579542,1.8878801335505894e-05,Timber,Orkanger,63.3000,9.8468
56,10.555033030175808,0.00334,2.77e-05,Steel,Orkanger,63.3000,9.8468
57,5.1669724052614034,0.02752767900548323,6.314775928574353e-05,Timber,Storlien,63.3160,12.1018
58,9.217145217984319,0.035202333972548315,0.00010326702642623576,Timber,Storlien,63.3160,12.1018
59,3.3284524654695504,0.00929169347552265,7.194630636922514e-06,Timber,Storlien,63.3160,12.1018
60,6.228383882294531,0.011993401408219355,1.1986806444889834e-05,Timber,Storlien,63.3160,12.1018
61,2.542129648122803,0.00164,5.41e-06,Steel,Orkanger,63.3000,9.8468
62,3.6453330014369456,0.03778684234720128,0.00011898712121435368,Timber,Storlien,63.3160,12.1018
63,9.384289566046313,0.028122158307913987,6.590464899128131e-05,Timber,Orkanger,63.3000,9.8468
64,10.51755360865578,0.0317567071542313,8.40407041066338e-05,Timber,Orkanger,63.3000,9.8468
65,1.3117626885442504,0.00239,1.32e-05,Steel,Storlien,63.3160,12.1018
66,8.855675782390119,0.00164,5.41e-06,Steel,Tiller,63.3604,10.4008
67,3.339397306649399,0.02022471889222161,3.4086604522448815e-05,Timber,Storlien,63.3160,12.1018
68,3.5492065720903745,0.02631888839716053,5.772365720518259e-05,Timber,Orkanger,63.3000,9.8468
69,8.025947249331768,0.010233414994134476,8.726898536848026e-06,Timber,Tiller,63.3604,10.4008
70,9.736698875129175,0.00334,2.77e-05,Steel,Storlien,63.3160,12.1018
71,2.6213047187485055,0.015112796523666993,1.903305156381343e-05,Timber,Gjovik,60.8941,10.5001
72,2.616814869918831,0.00538,8.36e-05,Steel,Tiller,63.3604,10.4008
73,1.4695968097098546,0.005567681583724155,2.5832565181450924e-06,Timber,Orkanger,63.3000,9.8468
74,6.726055884950299,0.00201,8.69e-06,Steel,Orkanger,63.3000,9.8468
75,6.430801292979682,0.014836939219166024,1.834456378276891e-05,Timber,Tiller,63.3604,10.4008
76,8.706634356350781,0.00201,8.69e-06,Steel,Storlien,63.3160,12.1018
77,1.1134318026513137,0.009769433346322439,7.953485659019736e-06,Timber,Tiller,63.3604,10.4008
78,9.267643166087524,0.029798839601170374,7.399757013135665e-05,Timber,Tiller,63.3604,10.4008
79,6.89540917636704,0.017081553916718326,2.4314957017479598e-05,Timber,Gjovik,60.8941,10.5001
80,5.688885745977117,0.020674758123303282,3.562046862142459e-05,Timber,Gjovik,60.8941,10.5001
81,7.64001620297806,0.039686203346702933,0.00013124956133965459,Timber,Tiller,63.3604,10.4008
82,5.69659131616852,0.004192437769465733,1.4647112042369006e-06,Timber,Gjovik,60.8941,10.5001
83,6.023159365169313,0.011794310425374141,1.1592146534174096e-05,Timber,Gjovik,60.8941,10.5001
84,4.8608978756157555,0.00239,1.32e-05,Steel,Storlien,63.3160,12.1018
85,4.51231179177422,0.00164,5.41e-06,Steel,Storlien,63.3160,12.1018
86,5.661216275167922,0.007699208550191821,4.939817691612237e-06,Timber,Orkanger,63.3000,9.8468
87,6.888608215768977,0.03404500767968158,9.658854565913146e-05,Timber,Storlien,63.3160,12.1018
88,5.891177376222521,0.017178659282658527,2.4592194562472498e-05,Timber,Tiller,63.3604,10.4008
89,6.404477161889073,0.01592790653660911,2.1141517219912932e-05,Timber,Orkanger,63.3000,9.8468
90,5.938246852048599,0.03857562345873844,0.00012400656043586427,Timber,Gjovik,60.8941,10.5001
91,8.144669200874247,0.028454998110142665,6.747390978735188e-05,Timber,Tiller,63.3604,10.4008
92,6.4377923924431055,0.023864286815382843,4.745868210057128e-05,Timber,Gjovik,60.8941,10.5001
93,10.782810220155278,0.00538,8.36e-05,Steel,Tiller,63.3604,10.4008
94,9.013434803524074,0.00164,5.41e-06,Steel,Orkanger,63.3000,9.8468
95,4.981336755949151,0.00239,1.32e-05,Steel,Storlien,63.3160,12.1018
96,9.320601808500628,0.030905529321194582,7.959597855193484e-05,Timber,Gjovik,60.8941,10.5001
97,6.600726954544658,0.008914959642010127,6.623042118222445e-06,Timber,Tiller,63.3604,10.4008
98,5.4888517401495776,0.008351762024550565,5.812660742893746e-06,Timber,Orkanger,63.3000,9.8468
99,1.161343419014487,0.01377992798896239,1.5823867948415756e-05,Timber,Tiller,63.3604,10.4008
